TX_ID	Output	Amount
6e0bc418450457c5f01974dfa38e29a9f38c8f7faaa0ea7cd2f3402e64a0ab58	0	44019
b8d436dd8b1c50d77b2f5efa1580f5980aeb1b2ca87f97c3bb82afff9204373e	0	49467
15efa5c380ca4cf76ccb818101eb50c5b8ecab7d94e7bf43315adeb6980adb7f	0	44019
5bfd6860bdab0dc9cfbb3d2ba6c80fd453f9294a7db2872f68e7bbe3af52ba89	0	35318
032c58f0538a9bbd972e43e229aa4388d794ae7c10d4644b65fa1816ab94f956	0	62238
5133204f2426f34eb8b8b25a7196f738844fea80c98ed74d9386f908f2ebfae4	0	32633
dfa56269ad4aea361a667e7475fb4badb7fb662b7619d5071d6a09b3b482c309	0	32233
0646e062c03e73372b1ac89090d668468bc7705e8d2e289e592eb1b9ad1b1913	0	4061
